supplier,year,month,week,purchase_date,invoice_id,store_code,store_name,network,category,product_group,article_description,grower,purchase_flow,origin,color,buy_price,selling_price,coefficient,margin,quantity,invoice_product_value,purchase_value,invoice_kind,total_purchase_amount,total_selling_amount,estimated_margin_amount
Tulip Export,2024,10,41,2024-10-07,689648,ANR012,AU NOM DE LA ROSE BOULOGNE,Succursale,Accessoires,Plantes vertes,Orchidées premium,Grower A,Stock,Italie,Rouge,3.02,7.27,2.41,85.0,20,145.4,60.4,Factuur,60.4,145.39999999999998,84.99999999999997
Rose Africa,2024,10,40,2024-10-03,620787,ANR012,AU NOM DE LA ROSE BOULOGNE,Succursale,Fleurs coupées,Lys,Plantes vertes premium,Grower B,Promotion,Italie,Rose,1.48,3.28,2.22,57.6,32,104.96,47.36,Factuur,47.36,104.96,57.599999999999994
Rose Africa,2024,5,19,2024-05-08,632761,ANR012,AU NOM DE LA ROSE BOULOGNE,Franchise,Fleurs coupées,Bouquets mixtes,Roses premium,Grower B,Promotion,Italie,Rouge,0.85,1.64,1.93,159.58,202,331.28,171.7,Creditnota,171.7,331.28,159.57999999999998
Flora Holland,2024,5,21,2024-05-20,665841,ANR012,AU NOM DE LA ROSE BOULOGNE,Franchise,Accessoires,Bouquets mixtes,Orchidées premium,Grower B,Réassort,Italie,Blanc,5.82,12.56,2.16,936.86,139,1745.84,808.98,Factuur,808.98,1745.8400000000001,936.8600000000001
Orchidées France,2024,10,43,2024-10-27,655571,ANR012,AU NOM DE LA ROSE BOULOGNE,Franchise,Bouquets,Roses,Plantes vertes premium,Grower D,Commande spéciale,France,Blanc,2.84,4.8,1.69,182.28,93,446.4,264.12,Creditnota,264.12,446.4,182.27999999999997
Flora Holland,2024,1,4,2024-01-25,604270,CF0021,MONCEAU FLEURS LYON,Franchise,Bouquets,Bouquets mixtes,Tulipes premium,Grower B,Commande spéciale,Pays-Bas,Blanc,7.26,13.36,1.84,463.6,76,1015.36,551.76,Factuur,551.76,1015.3599999999999,463.5999999999999
Rose Africa,2024,4,17,2024-04-23,688672,ANR155,AU NOM DE LA ROSE PUTEAUX,Franchise,Bouquets,Roses,Lys premium,Grower B,Promotion,Italie,Vert,4.98,8.92,1.79,547.66,139,1239.88,692.22,Factuur,692.22,1239.8799999999999,547.6599999999999
Rose Africa,2024,5,22,2024-05-27,676779,HF001,HAPPY PARIS OPERA,Franchise,Bouquets,Lys,Orchidées premium,Grower C,Stock,Italie,Jaune,5.22,9.6,1.84,573.78,131,1257.6,683.82,Factuur,683.8199999999999,1257.6,573.78
Tulip Export,2024,12,50,2024-12-15,651398,HF001,HAPPY PARIS OPERA,Franchise,Fleurs coupées,Orchidées,Roses premium,Grower D,Stock,Kenya,Jaune,3.89,6.34,1.63,311.15,127,805.18,494.03,Factuur,494.03000000000003,805.18,311.1499999999999
VDV,2024,7,30,2024-07-28,603272,CF0032,MONCEAU FLEURS MARSEILLE,Succursale,Bouquets,Tulipes,Tulipes premium,Grower A,Stock,Espagne,Blanc,2.64,5.64,2.14,738.0,246,1387.44,649.44,Creditnota,649.44,1387.4399999999998,737.9999999999998
Rose Africa,2024,12,52,2024-12-27,658960,ANR155,AU NOM DE LA ROSE PUTEAUX,Succursale,Bouquets,Tulipes,Orchidées premium,Grower C,Promotion,Kenya,Vert,7.33,15.91,2.17,394.68,46,731.86,337.18,Factuur,337.18,731.86,394.68
VDV,2024,5,21,2024-05-22,684453,CF0018,MONCEAU FLEURS PARIS 15,Franchise,Plantes,Lys,Orchidées premium,Grower A,Réassort,Pays-Bas,Jaune,3.19,7.75,2.43,478.8,105,813.75,334.95,Creditnota,334.95,813.75,478.8
Tulip Export,2024,9,36,2024-09-04,617431,CF0032,MONCEAU FLEURS MARSEILLE,Succursale,Plantes,Bouquets mixtes,Bouquets mixtes premium,Grower A,Stock,Pays-Bas,Blanc,4.19,9.73,2.32,720.2,130,1264.9,544.7,Factuur,544.7,1264.9,720.2
Tulip Export,2024,9,38,2024-09-16,648361,HF001,HAPPY PARIS OPERA,Succursale,Bouquets,Tulipes,Lys premium,Grower D,Stock,Espagne,Rose,6.7,14.88,2.22,1341.52,164,2440.32,1098.8,Creditnota,1098.8,2440.32,1341.5200000000002
Flora Holland,2024,1,4,2024-01-26,689581,ANR155,AU NOM DE LA ROSE PUTEAUX,Succursale,Fleurs coupées,Lys,Roses premium,Grower A,Promotion,France,Mixte,1.63,3.46,2.12,398.94,218,754.28,355.34,Factuur,355.34,754.28,398.94
